,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
2246,70012888,Condominium,SOLD,"JC, Heights",104 PROSPECT ST,Unit 2,"$329,000 ",3.0,2.0,19,9/20/2007,12/14/2007,,1800.0,6.0,,17,255.0,,,"1 Car, Tandem-Shared",,7307,No,,Yes,,,No,,,Yes,,0,No,,No,,No,,,No,,,No,,104,Prospect St,The Heights,Jersey City,07307,40.7391328,-74.0517505
2247,70010591,Condominium,SOLD,Union City,3710 HUDSON AVE,3a,"$329,000 ",2.0,2.0,77,8/6/2007,12/17/2007,,1064.0,4.0,,77,237.0,,,"1 Car, Garage",,7087,Yes,,Yes,,,No,,,Yes,,,No,,Yes,,No,,,Yes,,,No,,3710,Hudson Ave,Not Found,Union City,07087,40.773352,-74.023507
2248,80001054,Condominium,SOLD,Hoboken,320 MADISON ST,1,"$329,000 ",2.0,1.0,17,1/22/2008,3/28/2008,,525.0,5.0,,16,211.0,,,None,,07030-1961,No,,No,,,No,,,No,,3141,No,,No,,No,,,No,,,No,,320,Madison St,Not Found,Hoboken,07030,40.7422268,-74.0382156
2249,80005008,Condominium,SOLD,Hoboken,1212 WASHINGTON ST,3S,"$329,000 ",1.0,1.0,40,4/9/2008,7/7/2008,,660.0,5.0,,39,223.0,,,None,,7030,No,,No,,,No,,,No,,0,No,,No,,No,,,No,,,No,,1212,Washington St,Not Found,Hoboken,07030,40.7517284,-74.0266213
2250,80000125,Condominium,SOLD,"JC, Journal Square",75 LIBERTY AVE,D15,"$329,000 ",2.0,1.0,138,1/3/2008,7/28/2008,,1104.0,5.0,,137,393.0,,,1 Car,,07306-5030,Yes,,Yes,,,No,,,Yes,,4414,Yes,,No,,Yes,,,No,,,No,,75,Liberty Ave,Journal Square,Jersey City,07306,40.7386692,-74.064489
2251,80006880,Condominium,SOLD,Hoboken,128 MADISON ST,2R,"$329,000 ",1.0,1.0,60,5/19/2008,10/20/2008,,576.0,3.0,,60,195.0,,,None,,7030,No,,No,,,No,,,Yes,,0,No,,No,,No,,,No,,,No,,128,Madison St,Not Found,Hoboken,07030,40.7399979,-74.039093
2252,80006884,Condominium,SOLD,Hoboken,128 MADISON ST,2S,"$329,000 ",1.0,1.0,157,5/19/2008,2/26/2009,,576.0,3.0,,157,195.0,,,None,,7030,No,,No,,,No,,,Yes,,0,No,,No,,No,,,No,,,No,,128,Madison St,Not Found,Hoboken,07030,40.7399979,-74.039093
2253,80015348,Condominium,SOLD,"JC, Heights",120 SHERMAN AVE,P1,"$329,000 ",2.0,2.0,126,12/1/2008,4/20/2009,,1322.0,5.0,,126,334.0,,,"1 Car, Garage",,07307-2134,Yes,,Yes,,,Yes,,,Yes,,5870,No,,No,,No,,,Yes,,,Yes,,120,Sherman Ave,The Heights,Jersey City,07307,40.7448687,-74.0468726
2254,80011900,Condominium,SOLD,Union City,4301 PARK AVE,5C,"$329,000 ",2.0,2.0,578,9/9/2008,5/14/2010,,1025.0,4.0,,578,176.0,,,"1 Car, Garage",,7087,Yes,,No,,,No,,,Yes,,0,No,,Yes,,No,,,No,,,No,,4301,Park Ave,Not Found,Union City,07087,40.776035,-74.0198489
2255,100012846,Condominium,SOLD,Hoboken,205 PARK AVE,8,"$329,000 ",1.0,1.0,69,10/9/2010,2/2/2011,,650.0,3.0,No,69,234.0,No,,None,,07030-3787,No,,No,,,Yes,,,No,,4782,No,,No,,No,,,No,,,No,,205,Park Ave,Not Found,Hoboken,07030,40.7393851,-74.033193
2256,90007066,Condominium,SOLD,North Bergen,7420 BLVD EAST,2C,"$329,000 ",2.0,2.0,748,6/5/2009,6/27/2011,,1523.0,5.0,,748,618.0,,,"2 Cars, Tandem-Private",,07047-7905,Yes,,Yes,,,No,,,No,,"12,200",No,,No,,No,,,Yes,,,Yes,,7420,Bergen Blvd,Not Found,North Bergen,07047,40.8106684,-74.0049227
2257,100014011,Condominium,SOLD,"JC, Greenville",30 CONSTITUTION WAY,302,"$329,000 ",2.0,2.0,213,11/6/2010,7/22/2011,,1400.0,5.0,No,213,548.0,Yes,,"2 Cars, Garage",,7305,Yes,,No,,,Yes,,,Yes,,5443,No,,No,,Yes,,,No,,,No,,30,Constitution Way,Not Found,Jersey City,07305,40.6896138,-74.0711031
2258,120005637,Condominium,SOLD,Hoboken,228 BLOOMFIELD ST,3,"$329,000 ",1.0,2.0,16,5/9/2012,8/1/2012,,830.0,3.0,,16,186.0,,,None,,07030-4726,No,,No,,,No,,,No,,5023,No,,No,,No,,,No,,,No,,228,Bloomfield St,Not Found,Hoboken,07030,40.7398236,-74.0310917
2259,120006767,Condominium,SOLD,Hoboken,122 MADISON ST,2F,"$329,000 ",1.0,1.0,7,6/5/2012,8/16/2012,,605.0,3.0,,7,200.0,No,,None,,07030-7857,No,,Yes,,,No,,,Yes,,4852,No,,No,,No,,,No,,,No,,122,Madison St,Not Found,Hoboken,07030,40.7398021,-74.0389599
2260,402328,Condominium,SOLD,Union City,4401 PARK AVE,5E,"$329,175 ",2.0,2.0,238,3/22/2004,7/22/2005,,960.0,4.0,,237,170.0,,,Other-See Remarks,,7087,Yes,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,4401,Park Ave,Not Found,Union City,07087,40.7764538,-74.0192015
2261,510861,One Family,SOLD,Guttenberg,317C 71ST ST,,"$329,450 ",3.0,2.0,382,11/3/2005,12/29/2006,,,7.0,,380,,,"1 Car, Garage",,,7093,,No,,,,,No,No,,,4203,,,,,,,No,,,No,,,317,71st St,Not Found,Guttenberg,07093,40.795359,-74.0075823
2262,70012893,Condominium,SOLD,Hoboken,1025 WASHINGTON ST,2R,"$329,500 ",1.0,1.0,17,9/22/2007,12/11/2007,,500.0,3.0,,17,292.0,,,None,,7030,No,,No,,,No,,,No,,3417,No,,No,,No,,,No,,,No,,1025,Washington St,Not Found,Hoboken,07030,40.7493054,-74.0273611
2263,110008192,One Family,SOLD,EDISON,3 LARCHMONT DR,,"$329,500 ",4.0,3.0,21,7/11/2011,11/4/2011,,,8.0,,20,,,"1 Car, Garage",,,8837,,No,,,,,No,Yes,,,7414,,,,,,,No,,,No,,,3,Larchmont Rd,Not Found,Edison,08837,40.5343624,-74.3212692
2264,511353,One Family,SOLD,North Bergen,8615 SMITH AVE,,"$329,600 ",3.0,1.0,12,11/17/2005,2/28/2006,,,8.0,,9,,,Other-See Remarks,,,7047,,No,,,,,No,Yes,,,3847,,,,,,,No,,,No,,,8615,Smith Ave,Not Found,North Bergen,07047,40.8092632,-74.008782
