,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
1810,110000895,One Family,SOLD,Garfield,36 PARK AVE,,"$280,000 ",3.0,2,101,1/23/2011,6/20/2011,,,6.0,,100,,,"2 Cars, Garage, Detached",,,07026-1429,,No,,,,,No,No,,,5565,,,,,,,No,,,No,,,36,Park Ave,Not Found,Garfield,07026,40.8832859,-74.0990714
1811,110007298,Condominium,SOLD,"JC, Downtown",229 3RD ST,1R,"$280,000 ",1.0,1,25,6/17/2011,8/31/2011,,534.0,3.0,,25,225.0,,,None,,7302,No,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,229,3rd St,Not Found,Hoboken,07030,40.7404829,-74.0328286
1812,110002114,Condominium,SOLD,"JC, Downtown",229 3RD ST,1L,"$280,000 ",1.0,1,127,2/23/2011,9/13/2011,,550.0,3.0,,127,227.0,,,None,,7302,No,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,229,3rd St,Not Found,Hoboken,07030,40.7404829,-74.0328286
1813,110006958,Condominium,SOLD,Hoboken,73 GARDEN ST,2L,"$280,000 ",1.0,1,180,6/10/2011,1/27/2012,,580.0,5.0,,180,291.0,,,Other-See Remarks,,07030-3591,No,,No,,,No,,,No,,4355,No,,No,,No,,,No,,,No,,73,Garden St,Not Found,Hoboken,07030,40.7366821,-74.0329284
1814,110011108,One Family,SOLD,North Bergen,1601 77TH ST,,"$280,000 ",3.0,3,18,9/23/2011,2/28/2012,No,,8.0,No,15,,,"3+ Cars, Detached",,,07047-4072,,No,,,,,No,No,,,5487,,,,,,,No,,,No,,,1601,77th St,Not Found,North Bergen,07047,40.804316,-74.016716
1815,120002936,Condominium,SOLD,"JC, Downtown",689 LUIS M MARIN BLVD,209,"$280,000 ",2.0,1,56,3/12/2012,6/12/2012,,1085.0,5.0,,56,740.0,,,Other-See Remarks,,7310,Yes,,Yes,,,No,,,Yes,,5600,Yes,,Yes,,No,,,No,,,No,,689,Luis Munoz Marin Blvd,Not Found,Jersey City,07310,40.7355811,-74.0388757
1816,120003171,Condominium,SOLD,North Bergen,6403 LIBERTY AVE,10,"$280,000 ",3.0,2,31,3/16/2012,6/19/2012,,1850.0,9.0,,31,160.0,No,,"2 Cars, Garage",,07047-6630,No,,Yes,,,Yes,,,No,,5652,No,,No,,No,,,No,,,No,,6403,Liberty Ave,Not Found,North Bergen,07047,40.7973445,-74.0235906
1817,120006120,Condominium,SOLD,"JC, Journal Square",75 LIBERTY AVE,A27,"$280,000 ",2.0,2,26,5/20/2012,7/23/2012,,1399.0,4.0,No,25,565.0,No,,1 Car,,7306,Yes,,Yes,,,No,,,Yes,,7842,No,,Yes,,No,,,No,,,No,,75,Liberty Ave,Journal Square,Jersey City,07306,40.7386692,-74.064489
1818,120009181,Condominium,SOLD,Guttenberg,7002 BLVD EAST,2-19C,"$280,000 ",2.0,2,1,8/2/2012,8/27/2012,,1237.0,4.0,No,1,1262.0,No,,Garage,,07093-4918,Yes,,No,,,No,,,No,,9964,Yes,,Yes,,Yes,,,Yes,,,Yes,,Not Found,Guttenberg St,Not Found,Egg Harbor City,08215,39.539751,-74.617421
1819,120010920,One Family,SOLD,New Milford,647 COLUMBIA ST,,"$280,000 ",0.0,0,11,9/17/2012,11/16/2012,No,,0.0,Yes,10,,,"2 Cars, Attached, Garage",,,07646-2904,,No,,,,,No,No,,,,,,,,,,No,,,No,,,647,Columbia St,Not Found,New Milford,07646,40.933302,-74.028081
1820,60012711,One Family,SOLD,North Bergen,6902 DURHAM AVE,,"$280,100 ",2.0,1,23,9/26/2006,11/29/2006,,,5.0,,20,,,None,,,7047,,No,,,,,No,No,,,3260,,,,,,,No,,,No,,,6902,Durham Ave,Not Found,North Bergen,07047,40.797875,-74.017372
1821,505177,Condominium,SOLD,"JC, Downtown",400 2ND ST,3,"$280,500 ",1.0,1,5,6/9/2005,8/3/2005,,482.0,4.0,,5,225.0,,,None,,7302,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,400,2nd St,Historic Downtown,Jersey City,07302,40.723166,-74.0513369
1822,90004575,One Family,SOLD,Bayonne,576 AVENUE A,,"$280,500 ",3.0,2,182,4/9/2009,2/12/2010,,,8.0,,182,,,2 Cars,,,07002-1704,,No,,,,,No,No,,,9948,,,,,,,No,,,No,,,576,Avenue A,Constable Hook,Bayonne,07002,40.6683479,-74.1235135
1823,402306,Condominium,SOLD,Union City,4401 PARK AVE,2A,"$280,600 ",2.0,2,238,3/22/2004,8/22/2005,,967.0,4.0,,237,171.0,,,Other-See Remarks,,7087,Yes,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,4401,Park Ave,Not Found,Union City,07087,40.7764538,-74.0192015
1824,60013796,Condominium,SOLD,Kearny,472 FOREST ST,3,"$280,900 ",2.0,1,190,10/24/2006,6/29/2007,,950.0,4.0,,189,120.0,,,1 Car,,7032,No,,Yes,,,Yes,,,Yes,,4434,No,,No,,No,,,No,,,No,,472,Forest St,Not Found,Kearny,07032,40.7690037,-74.1396641
1825,404458,Condominium,SOLD,Hoboken,812 GRAND ST,206,"$280,916 ",1.0,1,33,4/1/2004,5/14/2004,,873.0,3.0,,0,160.0,,,Other-See Remarks,,7030,Yes,,Yes,,,No,,,Yes,,,No,,No,,Yes,,,No,,,No,,812,Grand St,Not Found,Hoboken,07030,40.7471597,-74.033784
1826,404708,Condominium,SOLD,Hoboken,812 GRAND ST,406,"$280,916 ",1.0,1,49,4/1/2004,5/26/2004,,873.0,3.0,,0,160.0,,,Other-See Remarks,,7030,Yes,,Yes,,,No,,,Yes,,,No,,No,,Yes,,,No,,,No,,812,Grand St,Not Found,Hoboken,07030,40.7471597,-74.033784
1827,400342,Condominium,SOLD,"JC, Downtown",101 EAST SHEARWATER CT,32,"$281,000 ",1.0,1,2,1/12/2004,3/16/2004,,960.0,4.0,,0,498.0,,,"1 Car, Garage",,7305,Yes,,Yes,,,Yes,,,Yes,,4050,Yes,,Yes,,Yes,,,No,,,No,,101,E Shearwater Ct,Not Found,Jersey City,07305,40.686625,-74.0720997
