,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
53,60008405,One Family,SOLD,Weehawken,600 GREGORY AVE,,"$375,000 ",3.0,1,308,6/21/2006,6/18/2007,,,6.0,,303,,,None,,,7086,,No,,,,,No,No,,,3071,,,,,,,Yes,,,Yes,,,600,Gregory Ave,Not Found,Weehawken,07086,40.767525900000003,-74.024097999999995
54,70003345,Condominium,SOLD,"JC, Downtown",264 3RD ST,1R,"$375,000 ",1.0,2,17,3/9/2007,6/22/2007,,800.0,4.0,,12,285.0,,,None,,7302,No,,Yes,,,Yes,,,No,,7348,No,,No,,No,,,No,,,No,,264,3rd St,Downtown Jersey City,Jersey City,07302,40.7234835,-74.046222299999997
55,70002135,Condominium,SOLD,Hoboken,830 BLOOMFIELD ST,4,"$375,000 ",1.0,1,84,2/16/2007,6/29/2007,,700.0,4.0,,80,150.0,,,None,,7030,No,,No,,,No,,,No,,5023,No,,No,,No,,,No,,,No,,830,Bloomfield St,Not Found,Hoboken,07030,40.747064299999998,-74.028969000000004
56,70006393,Condominium,SOLD,Hoboken,100 PARK AVE,2,"$375,000 ",1.0,1,3,5/8/2007,7/27/2007,,676.0,4.0,,1,316.0,,,None,,07030-8010,No,,No,,,No,,,Yes,,4828,No,,No,,No,,,No,,,No,,100,Park Ave,Not Found,Hoboken,07030,40.737937100000003,-74.033638299999993
57,70001226,Condominium,SOLD,"JC, Journal Square",233 DUNCAN AVE,1,"$375,000 ",3.0,3,164,1/29/2007,7/30/2007,,2000.0,7.0,,164,283.0,,,"2 Cars, Garage",,07306-6617,No,,Yes,,,No,,,No,,7200,No,,No,,No,,,No,,,No,,233,Duncan Ave,West Side,Jersey City,07306,40.727976900000002,-74.079462699999993
58,70002401,Condominium,SOLD,Weehawken,518 GREGORY AVE,C206,"$375,000 ",1.0,1,126,2/23/2007,8/17/2007,,860.0,4.0,,126,392.0,,,"1 Car, Covered, Garage",,07086-5706,Yes,,Yes,,,No,,,No,,4140,Yes,,Yes,,No,,,No,,,No,,518,Gregory Ave,Not Found,Weehawken,07086,40.765623300000001,-74.026145900000003
59,70008533,Condominium,SOLD,Hoboken,218 WASHINGTON ST,2A,"$375,000 ",1.0,1,30,6/21/2007,8/24/2007,,525.0,4.0,,29,106.0,,,None,,07030-4719,No,,Yes,,,No,,,No,,3750,No,,No,,No,,,No,,,No,,218,Washington St,Not Found,Hoboken,07030,40.739393900000003,-74.030542699999998
60,70007282,Condominium,SOLD,"JC, Downtown",280 MONMOUTH ST,E,"$375,000 ",1.0,1,57,5/30/2007,8/24/2007,,860.0,4.0,,57,152.0,,,None,,07302-4093,No,,No,,,No,,,Yes,,3079,No,,No,,No,,,No,,,No,,280,Monmouth St,Historic Downtown,Jersey City,07302,40.718349300000007,-74.051555800000003
61,60013335,Condominium,SOLD,"JC, Journal Square",2787 KENNEDY BLVD,507T,"$375,000 ",2.0,2,110,10/10/2006,9/13/2007,,1450.0,5.0,,107,550.0,,,1 Car,,7306,No,,No,,,Yes,,,No,,4563,Yes,,No,,Yes,,,No,,,No,,2787,John F Kennedy Blvd W,Not Found,Jersey City,07306,40.731110299999997,-74.068035199999997
62,70008976,One Family,SOLD,"JC, Heights",25 LINCOLN ST,,"$375,000 ",3.0,2,30,6/27/2007,9/21/2007,,,8.0,,24,,,None,,,07307-2934,,No,,,,,Yes,No,,,4641,,,,,,,No,,,No,,,25,Lincoln St,The Heights,Jersey City,07307,40.747040899999988,-74.049991800000001
63,70011216,Condominium,SOLD,Guttenberg,7004 BLVD EAST,21B,"$375,000 ",2.0,4,19,8/18/2007,10/1/2007,,1911.0,7.0,,18,1479.0,,,"3+ Cars, Attached, Covered, Garage",,07093-5021,Yes,,No,,,No,,,No,,9750,Yes,,Yes,,Yes,,,Yes,,,Yes,,Not Found,Guttenberg St,Not Found,Egg Harbor City,08215,39.539751000000003,-74.617420999999993
64,70002709,Condominium,SOLD,Hoboken,711 CLINTON ST,6A,"$375,000 ",1.0,1,175,3/1/2007,10/15/2007,,686.0,3.0,,174,155.0,,,None,,7030,Yes,,Yes,,,No,,,Yes,,4700,No,,No,,No,,,No,,,No,,711,Clinton St,Not Found,Hoboken,07030,40.746153499999998,-74.033095000000003
65,70015997,One Family,SOLD,West New York,5906 WASHINGTON AVE,,"$375,000 ",0.0,0,61,9/1/2007,11/29/2007,,,0.0,,0,,,3+ Cars,,,7093,,No,,,,,No,No,,,,,,,,,,No,,,No,,,5906,Washington St,Not Found,West New York,07093,40.790799,-74.021275000000003
66,70004847,Condominium,SOLD,North Bergen,7855 BLVD EAST,10F,"$375,000 ",1.0,2,182,4/9/2007,11/29/2007,,1350.0,4.0,,180,668.0,,,"1 Car, Garage",,7047,Yes,,No,,,Yes,,,No,,5300,Yes,,Yes,,Yes,,,No,,,No,,7855,Bergen Blvd,Not Found,North Bergen,07047,40.810703400000001,-74.005035899999996
67,70013195,Condominium,SOLD,Hoboken,625 WASHINGTON ST,2,"$375,000 ",1.0,1,39,9/27/2007,11/30/2007,,600.0,3.0,,38,102.0,,,None,,07030-4967,No,,No,,,No,,,No,,4416,No,,No,,No,,,No,,,No,,625,Washington St,Not Found,Hoboken,07030,40.744346399999998,-74.02873799999999
68,70013721,Condominium,SOLD,Hoboken,106 6TH ST,1,"$375,000 ",1.0,1,20,10/9/2007,12/4/2007,,502.0,4.0,,19,150.0,,,None,,07030-4917,No,,No,,,No,,,No,,2585,No,,No,,No,,,No,,,No,,106,6th St,Not Found,Hoboken,07030,40.743513700000001,-74.029231199999998
69,70009390,One Family,SOLD,Bayonne,220 AVENUE A,,"$375,000 ",2.0,2,97,7/12/2007,12/20/2007,,,5.0,,97,,,2 Cars,,,07002-1255,,No,,,,,No,No,,,7367,,,,,,,No,,,No,,,220,Avenue A,Constable Hook,Bayonne,07002,40.655678999999999,-74.133709899999999
